continent,location,gdp_per_capita,population,total_case,total_case_smoothed,total_case_per_mil,total_case_per_mil_smoothed,total_death,total_death_smoothed,total_death_per_mil,total_death_per_mil_smoothed,total_vaccine,total_vaccine_smoothed,total_vaccine_smoothed_per_mil,total_people_vaccinated_smoothed,total_people_vaccinated_smoothed_per_100
Asia,Afghanistan,1803.987,41128772,223846,223797.268,5442.581,5441.371,7932,7932.025,192.842,192.774,78275,20487696,498124,17360332,42.246
Europe,Albania,11803.431,2842318,334090,334089.994,117541.396,117541.379,3604,3604.049,1267.976,1268.003,1417691,3080451,1083776,1348540,47.439
Africa,Algeria,13913.839,44903228,271852,271852.007,6054.172,6054.162,6881,6881.012,153.243,153.234,170786,15270910,340078,7845452,17.48
North America,Antigua and Barbuda,21490.943,93772,9114,9111.873,97193.158,97170.31,146,146.043,1556.952,1556.895,8412,138632,1478361,66958,71.374
South America,Argentina,18933.907,45510324,10044957,10044957.03,220718.207,220718.227,130472,130471.978,2866.896,2866.891,115886532,115911643,2546933,41515192,91.178
North America,Aruba,35973.781,106459,44277,44269.744,415906.578,415838.121,292,292.084,2742.827,2742.928,114311,152871,1435952,78240,73.527
Oceania,Australia,44648.71,26177410,11527289,11527289.01,440352.533,440352.519,22200,22200.01,848.026,848.007,62460562,65396677,2498196,22244693,84.977
Asia,Azerbaijan,15847.419,10358078,831983,831968.014,80322.15,80320.689,10288,10285.881,993.321,993.078,10719068,13862847,1338370,5382271,51.943
North America,Bahamas,27717.847,409989,38084,38084.019,92890.298,92890.294,854,850.736,2082.951,2074.94,9258,366788,894668,175289,42.788
Asia,Bahrain,43290.705,1472237,696614,696614.001,473167.037,473167.029,1536,1536.064,1043.236,1043.257,2954499,3456519,2347783,1221159,82.93
Asia,Bangladesh,3523.984,171186368,2043730,2043573.592,11938.615,11937.712,29471,29452.866,172.2,172.113,141381503,361262580,2110321,151470352,88.49
North America,Barbados,16978.068,281646,109276,109275.994,387990.61,387990.598,612,612.011,2172.999,2172.909,293273,384087,1363754,166226,59.012
Europe,Belgium,42658.576,11655923,4802089,4802089.013,411987.019,411987.037,34376,34376.002,2949.256,2949.242,29633326,29635354,2542527,9266910,79.479
North America,Belize,7824.362,405285,70830,70824.16,174765.918,174751.434,689,688.903,1700.01,1699.571,119978,510138,1258708,258135,63.646
Asia,Bhutan,8708.597,782457,62691,62687.911,80120.654,80116.713,21,21.014,26.838,26.862,862033,2272027,2903738,959967,122.697
South America,Bolivia,6885.829,12224114,1203738,1203738.004,98472.408,98472.421,22393,22393.03,1831.87,1831.845,14565586,14685114,1201329,7362982,60.239
Europe,Bosnia and Herzegovina,11713.895,3233530,403052,403051.995,124647.665,124647.68,16352,16352.007,5057.032,5057.025,93862,1913728,591813,941842,29.153
Africa,Botswana,15807.374,2630300,330077,330077.013,125490.237,125490.238,2797,2797.078,1063.366,1063.365,10435,3176576,1207679,1955680,74.354
South America,Brazil,14103.452,215313504,37694079,37652234.29,175066.013,174871.692,704320,704182.002,3271.141,3270.499,460591607,486443880,2259219,189713810,88.115
Asia,Brunei,71809.251,449002,309561,309561.032,689442.337,689442.336,162,162.029,360.794,360.752,259735,1294782,2883686,452811,100.815
Europe,Bulgaria,18563.307,6781955,1298647,1298647,191485.644,191485.644,38388,38388.021,5660.323,5660.34,4409588,4616266,680660,2111403,31.061
Africa,Burundi,702.225,12889583,54229,54219.427,4207.187,4206.432,15,15.015,1.166,1.155,460,40090,3091,37028,0.205
Asia,Cambodia,3645.07,16767851,138936,138934.443,8285.89,8285.831,3056,3056.007,182.27,182.275,36482941,47353578,2824050,15301901,91.285
Africa,Cameroon,3364.926,27914542,125090,125089.982,4481.177,4481.145,1974,1974.054,70.72,70.645,10290,4782222,171273,3690678,13.279
